 Output    88 cells
 ================================================
 lev      x           d          u          P        rho       f
  7  6.91406E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  6.99219E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.07031E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.14844E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.22656E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.30469E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.38281E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.46094E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.53906E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  7  7.61719E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  7.73438E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  7.89062E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  8.04688E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  8.20312E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  6  8.35938E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  8.59375E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  8.90625E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  9.21875E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  9.53125E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  9.84375E-01  1.000E+00  0.000E+00  1.000E+00  1.000E+00  0.000E+00
  5  1.56250E-02  9.961E-01  4.882E-03  9.946E-01  9.990E-01  1.965E-01
  5  4.68750E-02  9.961E-01  1.465E-02  9.946E-01  9.990E-01  5.896E-01
  5  7.81250E-02  9.961E-01  2.441E-02  9.946E-01  9.990E-01  9.827E-01
  5  1.09375E-01  9.960E-01  3.436E-02  9.943E-01  9.990E-01  1.376E+00
  5  1.40625E-01  9.983E-01  4.620E-02  9.976E-01  1.000E+00  1.769E+00
  6  1.64062E-01  9.941E-01  4.846E-02  9.917E-01  9.970E-01  2.066E+00
  6  1.79688E-01  9.949E-01  5.465E-02  9.928E-01  9.963E-01  2.263E+00
  6  1.95312E-01  9.953E-01  6.032E-02  9.934E-01  9.977E-01  2.460E+00
  6  2.10938E-01  9.959E-01  6.617E-02  9.943E-01  9.976E-01  2.657E+00
  6  2.26562E-01  9.984E-01  7.299E-02  9.977E-01  9.998E-01  2.853E+00
  7  2.38281E-01  9.955E-01  7.334E-02  9.937E-01  9.973E-01  3.003E+00
  7  2.46094E-01  9.956E-01  7.604E-02  9.938E-01  9.959E-01  3.102E+00
  7  2.53906E-01  9.950E-01  7.795E-02  9.929E-01  9.960E-01  3.200E+00
  7  2.61719E-01  9.952E-01  8.070E-02  9.932E-01  9.962E-01  3.299E+00
  7  2.69531E-01  9.956E-01  8.367E-02  9.939E-01  9.968E-01  3.397E+00
  7  2.77344E-01  9.960E-01  8.658E-02  9.944E-01  9.970E-01  3.496E+00
  7  2.85156E-01  9.961E-01  8.912E-02  9.945E-01  9.970E-01  3.594E+00
  7  2.92969E-01  9.961E-01  9.158E-02  9.946E-01  9.970E-01  3.693E+00
  7  3.00781E-01  9.961E-01  9.402E-02  9.946E-01  9.970E-01  3.791E+00
  7  3.08594E-01  9.961E-01  9.646E-02  9.946E-01  9.970E-01  3.890E+00
  7  3.16406E-01  9.961E-01  9.890E-02  9.946E-01  9.970E-01  3.988E+00
  7  3.24219E-01  9.961E-01  1.013E-01  9.946E-01  9.970E-01  4.087E+00
  7  3.32031E-01  9.961E-01  1.038E-01  9.946E-01  9.970E-01  4.185E+00
  7  3.39844E-01  9.961E-01  1.062E-01  9.946E-01  9.970E-01  4.283E+00
  7  3.47656E-01  9.961E-01  1.087E-01  9.946E-01  9.970E-01  4.382E+00
  7  3.55469E-01  9.961E-01  1.111E-01  9.946E-01  9.970E-01  4.480E+00
  7  3.63281E-01  9.961E-01  1.136E-01  9.946E-01  9.970E-01  4.579E+00
  7  3.71094E-01  9.961E-01  1.160E-01  9.946E-01  9.970E-01  4.677E+00
  7  3.78906E-01  9.961E-01  1.184E-01  9.946E-01  9.970E-01  4.776E+00
  7  3.86719E-01  9.961E-01  1.209E-01  9.946E-01  9.970E-01  4.874E+00
  7  3.94531E-01  9.961E-01  1.233E-01  9.946E-01  9.970E-01  4.973E+00
  7  4.02344E-01  9.961E-01  1.258E-01  9.946E-01  9.970E-01  5.071E+00
  7  4.10156E-01  9.961E-01  1.282E-01  9.946E-01  9.970E-01  5.170E+00
