lev      x           d          u          P
  7  5.97656E-01  1.000E+00  1.000E+00  1.000E+00
  7  6.05469E-01  1.000E+00  1.000E+00  1.000E+00
  7  6.13281E-01  1.000E+00  1.000E+00  1.000E+00
  7  6.21094E-01  1.000E+00  1.000E+00  1.000E+00
  6  6.32812E-01  1.000E+00  1.000E+00  1.000E+00
  6  6.48438E-01  1.000E+00  1.000E+00  1.000E+00
  6  6.64062E-01  1.000E+00  1.000E+00  1.000E+00
  6  6.79688E-01  1.000E+00  1.000E+00  1.000E+00
  5  7.03125E-01  1.000E+00  1.000E+00  1.000E+00
  5  7.34375E-01  1.000E+00  1.000E+00  1.000E+00
  5  7.65625E-01  1.000E+00  1.000E+00  1.000E+00
  5  7.96875E-01  1.000E+00  1.000E+00  1.000E+00
  4  8.43750E-01  1.000E+00  1.000E+00  1.000E+00
  4  9.06250E-01  1.000E+00  1.000E+00  1.000E+00
  4  9.68750E-01  1.000E+00  1.000E+00  1.000E+00
